epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4326,1.12215,3.05489,1.69976,0.00432,1,0.4844,0.24299,1.27576,3.67219,1.92862,0.000493926,0.000493926,0.000493926
2,48.6661,1.03713,2.60443,1.52224,0.00653,1,0.22857,0.06422,1.16707,3.73237,1.75267,0.00102881,0.00102881,0.00102881
3,72.5891,1.08854,2.33477,1.52904,0.01163,1,0.41582,0.26012,0.72705,3.37034,1.44219,0.00154169,0.00154169,0.00154169
4,96.2859,1.15454,2.20929,1.6216,0.00925,0.9,0.3825,0.22813,0.96764,3.64106,1.69834,0.00156798,0.00156798,0.00156798
5,120.585,1.25426,2.07244,1.71174,0.00857,0.94737,0.33344,0.21463,1.70964,3.80294,2.38742,0.00153497,0.00153497,0.00153497
6,144.078,1.0939,1.74556,1.55315,0.00831,1,0.29125,0.14391,1.55722,4.00908,2.63371,0.00150197,0.00150197,0.00150197
7,167.025,1.19017,1.68644,1.70461,0.00555,0.89474,0.16422,0.06755,1.70011,3.89846,2.30397,0.00146896,0.00146896,0.00146896
8,191.135,1.17222,1.5844,1.64575,0.04644,0.5,0.36169,0.21841,1.25485,3.62718,2.03386,0.00143595,0.00143595,0.00143595
9,214.685,1.05958,1.51173,1.61697,0.99573,0.34211,0.42569,0.32609,0.98624,2.66156,1.63331,0.00140295,0.00140295,0.00140295
10,238.295,0.97845,1.39503,1.47606,1,0.44032,0.58305,0.37952,1.00651,2.50781,1.55886,0.00136994,0.00136994,0.00136994
11,261.849,1.08013,1.42869,1.52414,0.98292,0.44737,0.50797,0.40619,0.72658,2.29266,1.31942,0.00133693,0.00133693,0.00133693
12,285.528,1.01861,1.32409,1.48805,0.97351,0.47056,0.56078,0.39956,0.90801,1.91876,1.68375,0.00130393,0.00130393,0.00130393
13,308.41,0.96061,1.45523,1.47677,0.99769,0.44737,0.53472,0.34842,1.04337,2.0381,2.00175,0.00127092,0.00127092,0.00127092
14,331.343,0.91074,1.29673,1.39759,0.93636,0.44737,0.50173,0.37095,0.86589,2.30726,1.52357,0.00123791,0.00123791,0.00123791
15,354.887,0.91729,1.2919,1.428,0.88228,0.44737,0.56358,0.4244,0.79015,2.67775,1.37206,0.00120491,0.00120491,0.00120491
16,378.274,0.88549,1.21639,1.41074,0.96032,0.47368,0.57266,0.41118,0.93977,2.51208,1.75641,0.0011719,0.0011719,0.0011719
17,401.468,0.90597,1.27707,1.41671,0.99624,0.5,0.56984,0.38952,1.05529,2.20292,1.82013,0.00113889,0.00113889,0.00113889
18,424.262,0.90489,1.20267,1.38471,0.68442,0.7,0.65055,0.43588,0.89006,1.89799,1.57745,0.00110589,0.00110589,0.00110589
19,447.12,0.93334,1.18414,1.42172,1,0.49201,0.58837,0.43679,0.83543,1.76482,1.48904,0.00107288,0.00107288,0.00107288
20,470.004,0.90522,1.12237,1.45855,0.94968,0.5,0.57876,0.40523,0.85279,1.75288,1.46547,0.00103987,0.00103987,0.00103987
21,492.881,0.93935,1.09173,1.45845,0.47026,0.59899,0.58139,0.42417,0.7816,1.72402,1.36815,0.00100687,0.00100687,0.00100687
22,515.597,0.87868,1.08247,1.39763,0.67641,0.7,0.63238,0.46084,0.68688,1.4778,1.27568,0.000973861,0.000973861,0.000973861
23,538.818,0.92262,1.18035,1.37884,0.57072,0.7,0.61355,0.47883,0.62389,1.50457,1.20356,0.000940855,0.000940855,0.000940855
24,561.645,0.94754,1.15617,1.46196,0.50699,0.70705,0.68485,0.48998,0.65357,1.5031,1.22161,0.000907848,0.000907848,0.000907848
