epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,2.89616,1.93734,3.35281,3.54605,0.31976,0.00338,1,0.08652,0.02853,1.44043,3.90718,3.65747,0.51286,0.000333333,0.000333333,0.000333333
2,5.29625,1.95969,4.06147,4.03874,0.26974,0.00338,1,0.08652,0.02853,1.44043,3.90718,3.65747,0.51286,0.0009802,0.0009802,0.0009802
3,7.65187,1.81554,3.53487,3.66093,0.17341,0.00338,1,0.08652,0.02853,1.44043,3.90718,3.65747,0.51286,0.00160067,0.00160067,0.00160067
4,9.94708,1.76382,3.06896,3.15356,0.21526,0.00338,1,0.08652,0.02853,1.44043,3.90718,3.65747,0.51286,0.0018812,0.0018812,0.0018812
5,12.2747,1.7546,3.38613,3.61659,0.37206,0.00338,1,0.08652,0.02853,1.44043,3.90718,3.65747,0.51286,0.0018416,0.0018416,0.0018416
6,14.5775,1.69483,3.08103,3.44226,0.26497,0.00338,1,0.08652,0.02853,1.44043,3.90718,3.65747,0.51286,0.001802,0.001802,0.001802
7,16.8649,2.11189,3.47457,3.94638,0.20176,0.00338,1,0.08652,0.02853,1.44043,3.90718,3.65747,0.51286,0.0017624,0.0017624,0.0017624
8,19.1644,1.68723,3.69987,3.50149,0.1518,0.75971,0.5,0.745,0.4715,1.01656,2.75403,3.13838,0.00167,0.0017228,0.0017228,0.0017228
9,21.4396,1.07628,2.11797,2.46296,0.03237,0.75971,0.5,0.745,0.4715,1.01656,2.75403,3.13838,0.00167,0.0016832,0.0016832,0.0016832
10,23.6537,1.11937,2.39194,2.8227,0.04164,0.75971,0.5,0.745,0.4715,1.01656,2.75403,3.13838,0.00167,0.0016436,0.0016436,0.0016436
11,25.9807,1.1808,2.01968,2.57591,0.04507,0.75971,0.5,0.745,0.4715,1.01656,2.75403,3.13838,0.00167,0.001604,0.001604,0.001604
12,28.3493,1.3803,2.46937,2.88702,0.04614,0.75971,0.5,0.745,0.4715,1.01656,2.75403,3.13838,0.00167,0.0015644,0.0015644,0.0015644
13,30.6436,1.10317,2.00223,2.48099,0.0391,0.75971,0.5,0.745,0.4715,1.01656,2.75403,3.13838,0.00167,0.0015248,0.0015248,0.0015248
14,32.8653,1.13531,2.1796,2.63964,0.05931,0.75971,0.5,0.745,0.4715,1.01656,2.75403,3.13838,0.00167,0.0014852,0.0014852,0.0014852
15,35.2162,1.37887,2.06636,2.92588,0.05652,0.98919,1,0.995,0.6465,1.29204,2.07495,4.51221,0.00718,0.0014456,0.0014456,0.0014456
16,37.4877,1.76827,1.83887,3.08381,0.01779,0.98919,1,0.995,0.6465,1.29204,2.07495,4.51221,0.00718,0.001406,0.001406,0.001406
17,39.7945,1.53504,1.75892,3.01619,0.04593,0.98919,1,0.995,0.6465,1.29204,2.07495,4.51221,0.00718,0.0013664,0.0013664,0.0013664
18,42.0674,1.65603,2.1848,2.8308,0.01186,0.98919,1,0.995,0.6465,1.29204,2.07495,4.51221,0.00718,0.0013268,0.0013268,0.0013268
19,44.3222,1.67372,1.81016,2.87692,0.03182,0.98919,1,0.995,0.6465,1.29204,2.07495,4.51221,0.00718,0.0012872,0.0012872,0.0012872
20,46.5647,2.02283,1.72755,2.92545,0.04823,0.98919,1,0.995,0.6465,1.29204,2.07495,4.51221,0.00718,0.0012476,0.0012476,0.0012476
21,48.8781,1.45735,1.6822,2.63966,0.02201,0.98919,1,0.995,0.6465,1.29204,2.07495,4.51221,0.00718,0.001208,0.001208,0.001208
22,51.2287,1.15229,1.55672,2.4122,0.01805,0.97658,1,0.995,0.82075,0.62672,1.82854,2.40465,0.01057,0.0011684,0.0011684,0.0011684
23,53.5785,0.86872,1.12825,2.25374,0.00951,0.97658,1,0.995,0.82075,0.62672,1.82854,2.40465,0.01057,0.0011288,0.0011288,0.0011288
24,55.9278,1.01965,1.629,2.46497,0.01554,0.97658,1,0.995,0.82075,0.62672,1.82854,2.40465,0.01057,0.0010892,0.0010892,0.0010892
25,58.2725,0.98826,1.24281,2.22723,0.0125,0.97658,1,0.995,0.82075,0.62672,1.82854,2.40465,0.01057,0.0010496,0.0010496,0.0010496
26,60.6866,1.16022,1.65246,2.54326,0.01515,0.97658,1,0.995,0.82075,0.62672,1.82854,2.40465,0.01057,0.00101,0.00101,0.00101
27,63.0949,0.75855,1.59494,2.33127,0.01587,0.97658,1,0.995,0.82075,0.62672,1.82854,2.40465,0.01057,0.0009704,0.0009704,0.0009704
28,65.5252,0.90064,1.21933,2.20422,0.0123,0.97658,1,0.995,0.82075,0.62672,1.82854,2.40465,0.01057,0.0009308,0.0009308,0.0009308
29,68.0002,1.10669,1.4905,2.64978,0.00515,0.93275,1,0.995,0.796,0.93588,1.71683,2.84256,0.01053,0.0008912,0.0008912,0.0008912
30,70.3293,1.09857,1.60571,2.59606,0.01506,0.93275,1,0.995,0.796,0.93588,1.71683,2.84256,0.01053,0.0008516,0.0008516,0.0008516
31,72.7019,0.87408,1.20677,2.09267,0.00298,0.93275,1,0.995,0.796,0.93588,1.71683,2.84256,0.01053,0.000812,0.000812,0.000812
32,75.1044,0.87613,1.08109,2.24346,0.00533,0.93275,1,0.995,0.796,0.93588,1.71683,2.84256,0.01053,0.0007724,0.0007724,0.0007724
33,77.5273,1.11355,1.36851,2.47392,0.00723,0.93275,1,0.995,0.796,0.93588,1.71683,2.84256,0.01053,0.0007328,0.0007328,0.0007328
34,79.842,0.63501,1.00805,1.74524,0.00203,0.93275,1,0.995,0.796,0.93588,1.71683,2.84256,0.01053,0.0006932,0.0006932,0.0006932
35,81.8285,0.70571,1.06657,2.03192,0.00467,0.93275,1,0.995,0.796,0.93588,1.71683,2.84256,0.01053,0.0006536,0.0006536,0.0006536
36,84.1124,0.66886,1.03938,1.87306,0.00591,0.96417,1,0.995,0.82075,0.73496,1.391,2.5073,0.00463,0.000614,0.000614,0.000614
37,86.5836,0.99049,1.32676,2.48673,0.00371,0.96417,1,0.995,0.82075,0.73496,1.391,2.5073,0.00463,0.0005744,0.0005744,0.0005744
38,89.1018,1.16459,1.42801,2.43147,0.00456,0.96417,1,0.995,0.82075,0.73496,1.391,2.5073,0.00463,0.0005348,0.0005348,0.0005348
39,91.6496,1.29083,1.63626,2.53193,0.01162,0.96417,1,0.995,0.82075,0.73496,1.391,2.5073,0.00463,0.0004952,0.0004952,0.0004952
40,93.9205,0.57485,1.01712,1.87814,0.00179,0.96417,1,0.995,0.82075,0.73496,1.391,2.5073,0.00463,0.0004556,0.0004556,0.0004556
41,95.657,1.09275,2.63393,2.62416,0.00062,0.96417,1,0.995,0.82075,0.73496,1.391,2.5073,0.00463,0.000416,0.000416,0.000416
42,98.1552,0.56906,2.57872,1.66473,0.001,0.96417,1,0.995,0.82075,0.73496,1.391,2.5073,0.00463,0.0003764,0.0003764,0.0003764
43,100.637,0.76348,2.48448,2.31101,0.001,0.96639,1,0.995,0.8955,0.56122,1.31796,2.22963,0.00162,0.0003368,0.0003368,0.0003368
